idproduto;ean;descricaoproduto;pisclassificacaofiscal;pisaliquota;cofinsclassificacaofiscal;cofinsaliquota;csosn;codigoncm;aliquota;
38682;"7899710009860";"LAMPADA LED KIAN GLOBE 20W";"";0,51;"";0,00;"500";"85395200";0,00;
38683;"7899710009877";"LAMPADA LED KIAN GLOBE 30W";"49";0,00;"49";0,00;"500";"85395200";0,00;
38684;"7896044936923";"DESOD AERO GB CLASSIC 150ML";"04";0,00;"04";0,00;"500";"33072010";0,00;
38590;"7898629570973";"HARIBO STICKS ACIDO TUTTI 80G";"49";0,00;"49";0,00;"102";"17049020";0,00;
38685;"7896044936916";"DESODORANTE AERO GB BLUE 150ML";"04";0,00;"04";0,00;"500";"33072010";0,00;
38686;"7896044952817";"DESODORANTE ROLL.ON GB CHERRY 50ML";"04";0,00;"04";0,00;"500";"33072010";0,00;
38641;"7891010877620";"CONDICIONADOR JJ BABY 400ML";"04";0,00;"04";0,00;"500";"33059000";0,00;
38642;"7891024034156";"COND PALM NATURALS BOOM HIDRATACAO 350ML";"04";0,00;"04";0,00;"500";"33059000";0,00;
38643;"7891150081260";"DES REXONA AER FEM COTTON DRY 250ML";"04";0,00;"04";0,00;"500";"33072010";0,00;
38644;"7891150081253";"DES REXONA AER FEM POWDER DRY 250ML";"04";0,00;"04";0,00;"500";"33072010";0,00;
38645;"7891150081307";"DES REXONA AER MEN ACTIVE DRY 250ML";"04";0,00;"04";0,00;"500";"33072010";0,00;
38687;"7896044942023";"DESODORANTE ROLL.ON GB LILAC 50ML";"04";0,00;"04";0,00;"500";"33072010";0,00;
38646;"7891150081314";"DES REXONA AER MEN V8 250ML";"04";0,00;"04";0,00;"500";"33072010";0,00;
38647;"7891024034064";"SHAMPOO PALM NATURALS BOOM HIDRATACAO 350ML";"04";0,00;"04";0,00;"500";"33051000";0,00;
38631;"7891991015493";"ANTARCTICA ORIGINAL 350ML";"06";0,00;"06";0,00;"500";"22030000";0,00;
38688;"7896044953579";"DESODORANTE ROLL.ON GB CANDY 50ML";"04";0,00;"04";0,00;"500";"33072010";0,00;
38689;"7896044928539";"DESODORANTE ROLL.ON GB BLUE 50ML";"04";0,00;"04";0,00;"500";"33072010";0,00;
38632;"7899026459908";"COND ELSEVE RESTAURADOR 400ML";"04";0,00;"04";0,00;"500";"33059000";7,00;
38691;"7896772100894";"QUEIJO RALADO LA PARMEZON 40G";"49";0,00;"49";0,00;"102";"04062000";0,00;
38690;"7898964630318";"PIRULITO CATAVENTO 12G";"49";0,00;"49";0,00;"102";"17049020";0,00;
38692;"7898215157878";"BEBIDA LACTEA CHOCOLATE WHEY PIRACANJUBA 1L";"49";0,00;"49";0,00;"500";"22029900";0,00;
38693;"7898215157892";"BEBIDA LACTEA COCO WHEY PIRACANJUBA 1L";"49";0,00;"49";0,00;"500";"22029900";0,00;
38698;"7500435201292";"AMAC.DOWNY CONCENTRADO INTENSE 500ML";"49";0,00;"49";0,00;"500";"38099190";7,00;
38694;"7898215157557";"BEBIDA LACTEA COCO WHEY PROTEIN PIRACANJUBA 1L";"49";0,00;"49";0,00;"500";"22029900";0,00;
38705;"7896003739299";"BISCOITO MARILAN RECH CHOCOLATE 80G";"49";0,00;"49";0,00;"500";"19053100";0,00;
38664;"7898921567411";"BATATA BEM BRASIL UAI 2KG";"49";0,00;"49";0,00;"102";"20041000";0,00;
38706;"7896021315642";"MACARRAO AMALIA ZERO GLUTEN SPAGHETTI 500G";"";0,00;"";0,00;"102";"19021900";0,00;
38695;"7898215157540";"WHEY PROTEIN PASTA DE AMENDOIM PIRACANJUBA 1L";"49";0,00;"49";0,00;"500";"22029900";0,00;
38648;"7891150062153";"CIF CREMOSO ORIGINAL 450ML";"49";0,00;"49";0,00;"102";"34054000";0,00;
